Code,Name,Population,Area
ZH,Zurich,1539275,1729
BE,Bern,1039474,5960
LU,Lucerne,413120,1494
UR,Uri,36703,1077
SZ,Schwyz,160480,908
OW,Obwalden,37930,491
NW,Nidwalden,43087,276
GL,Glarus,40590,685
ZG,Zug,127642,239
FR,Fribourg,321783,1671
SO,Solothurn,275247,790
BS,Basel-City,201469,37
BL,290765,20347,518
SH,Schaffhouse,82348,298
AR,Appenzell Ausserrhoden,55445,243
AI,Appenzell Innerrhoden,16128,172
SG,St. Gall,510734,2031
GR,Grisons,199021,7105
AG,Aarau,685845,1404
TG,Thurgau,279547,992
TI,Ticino,351491,2812
VD,Vaud,805098,3212
VS,Valais,345525,5224
NE,Neuchâtel,176496,802
GE,Geneva,504128,282
JU,Jura,73584,839
